danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.843,0.702,6,-4.981,0,0.0462,0.0499,0.000306,0.308,0.882,125.464,audio_features,4qv7YSyt5UV8LvrXyE8sGn,spotify:track:4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/tracks/4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/audio-analysis/4qv7YSyt5UV8LvrXyE8sGn,230773,4,"Can You Feel It - 7"" Version",The Jacksons
0.628,0.821,10,-4.964,1,0.136,0.253,8.39e-05,0.292,0.967,172.913,audio_features,5EcNgf6BlaBpHuEGEyqJgj,spotify:track:5EcNgf6BlaBpHuEGEyqJgj,https://api.spotify.com/v1/tracks/5EcNgf6BlaBpHuEGEyqJgj,https://api.spotify.com/v1/audio-analysis/5EcNgf6BlaBpHuEGEyqJgj,152827,4,Rockin' Robin,Michael Jackson
0.4,0.236,5,-8.695,1,0.0282,0.885,0.000887,0.0977,0.308,136.77,audio_features,2x1sYWAXomiTwWWwd6yQPb,spotify:track:2x1sYWAXomiTwWWwd6yQPb,https://api.spotify.com/v1/tracks/2x1sYWAXomiTwWWwd6yQPb,https://api.spotify.com/v1/audio-analysis/2x1sYWAXomiTwWWwd6yQPb,166240,4,Ben - Single Version,Michael Jackson
0.529,0.59,5,-10.175,0,0.062,0.0448,0.000421,0.105,0.76,152.077,audio_features,6ac4lvV0LKQlbHYXJ7vTDb,spotify:track:6ac4lvV0LKQlbHYXJ7vTDb,https://api.spotify.com/v1/tracks/6ac4lvV0LKQlbHYXJ7vTDb,https://api.spotify.com/v1/audio-analysis/6ac4lvV0LKQlbHYXJ7vTDb,251640,4,Ain't No Sunshine,Michael Jackson
0.341,0.656,1,-7.889,1,0.0692,0.239,3.44e-05,0.129,0.674,171.429,audio_features,0fVnrbJVoP8CFPSOByBnK9,spotify:track:0fVnrbJVoP8CFPSOByBnK9,https://api.spotify.com/v1/tracks/0fVnrbJVoP8CFPSOByBnK9,https://api.spotify.com/v1/audio-analysis/0fVnrbJVoP8CFPSOByBnK9,205760,4,Got To Be There,Michael Jackson
0.601,0.865,4,-8.175,0,0.0575,0.479,0.00486,0.159,0.677,103.562,audio_features,0PP3oUSvWvsowo4Kf7QaJg,spotify:track:0PP3oUSvWvsowo4Kf7QaJg,https://api.spotify.com/v1/tracks/0PP3oUSvWvsowo4Kf7QaJg,https://api.spotify.com/v1/audio-analysis/0PP3oUSvWvsowo4Kf7QaJg,180600,4,I Wanna Be Where You Are,Michael Jackson
0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,audio_features,6NGsHLZYGVAkXTFr75WWnn,spotify:track:6NGsHLZYGVAkXTFr75WWnn,https://api.spotify.com/v1/tracks/6NGsHLZYGVAkXTFr75WWnn,https://api.spotify.com/v1/audio-analysis/6NGsHLZYGVAkXTFr75WWnn,218267,4,She's Out of My Life - Single Version,Michael Jackson
0.907,0.875,7,-11.001,1,0.0635,0.0461,0.00349,0.13,0.865,129.797,audio_features,6BdiFsPMPkSEEO4fFXFVWX,spotify:track:6BdiFsPMPkSEEO4fFXFVWX,https://api.spotify.com/v1/tracks/6BdiFsPMPkSEEO4fFXFVWX,https://api.spotify.com/v1/audio-analysis/6BdiFsPMPkSEEO4fFXFVWX,313693,4,Workin' Day and Night,Michael Jackson
0.662,0.344,9,-13.93,0,0.0487,0.369,0.000109,0.0589,0.436,146.016,audio_features,07L1pzoVerhRSSaDGZHrKy,spotify:track:07L1pzoVerhRSSaDGZHrKy,https://api.spotify.com/v1/tracks/07L1pzoVerhRSSaDGZHrKy,https://api.spotify.com/v1/audio-analysis/07L1pzoVerhRSSaDGZHrKy,300107,4,The Lady in My Life,Michael Jackson
0.671,0.636,9,-6.673,1,0.0558,0.269,4.09e-06,0.18,0.651,81.477,audio_features,1diEQsD8PJC9hXB5Gpfgtn,spotify:track:1diEQsD8PJC9hXB5Gpfgtn,https://api.spotify.com/v1/tracks/1diEQsD8PJC9hXB5Gpfgtn,https://api.spotify.com/v1/audio-analysis/1diEQsD8PJC9hXB5Gpfgtn,222040,4,The Girl Is Mine (with Paul McCartney),"Michael Jackson,Paul McCartney"
0.749,0.546,8,-7.217,0,0.103,0.464,0.00191,0.126,0.454,105.232,audio_features,5OoRmdDfAiDztSwrhe7wuE,spotify:track:5OoRmdDfAiDztSwrhe7wuE,https://api.spotify.com/v1/tracks/5OoRmdDfAiDztSwrhe7wuE,https://api.spotify.com/v1/audio-analysis/5OoRmdDfAiDztSwrhe7wuE,232800,4,Liberian Girl - 2012 Remastered Version,Michael Jackson
0.85,0.957,4,-3.991,1,0.113,0.393,0.00292,0.0764,0.609,123.589,audio_features,2jQfozDpitT8lVEYoOjmeR,spotify:track:2jQfozDpitT8lVEYoOjmeR,https://api.spotify.com/v1/tracks/2jQfozDpitT8lVEYoOjmeR,https://api.spotify.com/v1/audio-analysis/2jQfozDpitT8lVEYoOjmeR,280360,4,Leave Me Alone - 2012 Remaster,Michael Jackson
0.78,0.868,10,-4.5,1,0.0705,0.11,7.67e-05,0.352,0.773,106.069,audio_features,21VCYxPZ8A2XpSNUyQCT3B,spotify:track:21VCYxPZ8A2XpSNUyQCT3B,https://api.spotify.com/v1/tracks/21VCYxPZ8A2XpSNUyQCT3B,https://api.spotify.com/v1/audio-analysis/21VCYxPZ8A2XpSNUyQCT3B,234720,4,Another Part of Me - 2012 Remaster,Michael Jackson
0.877,0.781,11,-3.775,0,0.0691,0.117,0.000746,0.149,0.606,110.494,audio_features,5Fy40smNxk0j5OpFMtvfaU,spotify:track:5Fy40smNxk0j5OpFMtvfaU,https://api.spotify.com/v1/tracks/5Fy40smNxk0j5OpFMtvfaU,https://api.spotify.com/v1/audio-analysis/5Fy40smNxk0j5OpFMtvfaU,390573,4,In the Closet,Michael Jackson
0.884,0.96,2,-4.613,1,0.0721,0.0487,0.0227,0.271,0.617,116.273,audio_features,2EI8uljBPaI23VUr2tv4eS,spotify:track:2EI8uljBPaI23VUr2tv4eS,https://api.spotify.com/v1/tracks/2EI8uljBPaI23VUr2tv4eS,https://api.spotify.com/v1/audio-analysis/2EI8uljBPaI23VUr2tv4eS,338173,4,Jam,Michael Jackson
0.861,0.594,5,-4.658,1,0.121,0.0153,0.000326,0.104,0.506,103.159,audio_features,4HWcWgleTuUAWnVPNwW4CM,spotify:track:4HWcWgleTuUAWnVPNwW4CM,https://api.spotify.com/v1/tracks/4HWcWgleTuUAWnVPNwW4CM,https://api.spotify.com/v1/audio-analysis/4HWcWgleTuUAWnVPNwW4CM,393307,4,Who Is It,Michael Jackson
