uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:2xlOJSbScxrHHOmlNmILpD,0.728,0.623,2,-8.066,1,0.305,0.0391,0.0,0.214,0.805,145.973,171781,4,Neighbors (feat. BIG30),"Pooh Shiesty,BIG30"
spotify:track:5pRTz4O2qOkr5nawemy6Wb,0.55,0.637,8,-5.212,1,0.163,0.597,0.0,0.129,0.535,84.448,160078,4,Tombstone,Rod Wave
spotify:track:43BlKpJcSrC9AsJ3F1DKg9,0.877,0.677,5,-4.969,0,0.356,0.0439,0.0,0.0986,0.627,144.941,172185,4,Still Trappin' (with King Von),"Lil Durk,King Von"
spotify:track:6aKDdFwPJLgHT4aNktrQmb,0.891,0.552,1,-6.877,1,0.223,0.00225,2.18e-06,0.162,0.455,135.976,170267,4,Take It To Trial (feat. Yak Gotti),"Young Stoner Life,Young Thug,Gunna,Yak Gotti"
spotify:track:5A4WcRuy0FFEAC5pAK43oa,0.827,0.394,11,-10.073,1,0.559,0.253,0.0,0.12,0.715,157.0,192880,4,No More Parties - Remix,"Coi Leray,Lil Durk"
spotify:track:26UxwWl9xCb83OynXELJcL,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,181714,4,Masterpiece,DaBaby
spotify:track:6eVxH9Kyanzrw636zJRPcw,0.887,0.606,2,-6.572,1,0.324,0.000407,0.0,0.151,0.272,139.995,210699,4,Errbody,Lil Baby
spotify:track:33HO2V42Tc6xE0SbCg6vBj,0.901,0.673,4,-6.545,0,0.314,0.0761,0.0,0.143,0.561,119.97,223944,4,Quicksand,Morray
spotify:track:2D6vfFZxQ5YzPPBODls1a9,0.619,0.573,1,-7.277,1,0.393,0.0352,0.0,0.228,0.376,175.187,166392,3,Hard For The Next (with Future),"Moneybagg Yo,Future"
spotify:track:0tIHHwV2eL10rpQ1fiyDjz,0.882,0.471,2,-8.827,0,0.118,0.058,0.0,0.0991,0.372,95.02,141663,4,Try Me,Lil Mosey
spotify:track:3RvLAm0ESbUOUZOD7sF4xn,0.886,0.722,6,-5.185,0,0.198,0.0183,2.35e-05,0.0826,0.51,144.042,227912,4,Case Closed,"Young Dolph,Key Glock"
spotify:track:5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,123263,4,Whoopty,CJ
spotify:track:0IGLcex3HtI1EzVKLrT4RN,0.955,0.646,11,-5.924,0,0.26,0.0883,0.0,0.215,0.691,125.132,190037,4,"SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith)","Big Scarr,Pooh Shiesty,Foogiano,Tay Keith"
spotify:track:15C4TnrrVdym7UykxQIOTZ,0.878,0.475,1,-8.42,0,0.324,0.00984,0.0,0.167,0.397,131.988,211610,4,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,"BRS Kash,DaBaby,City Girls"
spotify:track:1XXimziG1uhM0eDNCZCrUl,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4,Up,Cardi B
spotify:track:78xj07VVFK5uHTaGPIu13S,0.956,0.502,9,-5.995,1,0.213,0.0593,0.0,0.238,0.795,110.003,187000,4,Buss It,Erica Banks
spotify:track:6MHwbVY6LkFvmEnUla0Hzj,0.633,0.534,1,-8.605,1,0.229,0.0524,0.0,0.189,0.29,155.111,123871,4,Toxic Punk,YoungBoy Never Broke Again
spotify:track:5YR9LQu1dLJtSc7hgS0inh,0.708,0.622,1,-14.65,0,0.111,0.658,0.323,0.1,0.732,100.913,318227,4,Hustle,"Sons Of Kemet,Kojey Radical"
spotify:track:2wAryG29r8m1kOTL3SHWRP,0.719,0.625,8,-11.06,1,0.0441,0.116,0.000401,0.0314,0.791,121.672,214728,4,Animal Kingdom,Talibah Safiya
spotify:track:6KEvzpIWASLeth3AkG5uNg,0.454,0.451,1,-11.765,1,0.0345,0.43,0.45,0.126,0.644,104.882,325899,3,Conception,"John Patitucci,Vinnie Colaiuta,Bill Cunliffe"
spotify:track:3HtrgoW2iPVupeM8SU3718,0.399,0.0123,10,-20.625,1,0.0449,0.958,0.485,0.113,0.279,107.924,160720,4,Roy,Ambrose Akinmusire
spotify:track:7k331Yz3KZG0fUx91ZV7qN,0.273,0.642,2,-11.019,1,0.0523,0.319,0.325,0.13,0.41,66.785,368467,4,Burning Bright,Ben Wendel
spotify:track:36apwMphkcaS63LY3JJMPh,0.663,0.703,3,-12.125,0,0.0562,0.187,0.326,0.319,0.299,117.953,357960,4,Rose Rouge,Jorja Smith
spotify:track:4IAqjZmjlOMQGsDyuiXA4d,0.642,0.318,11,-10.783,0,0.0913,0.724,0.0,0.0854,0.43,128.063,175373,4,Kiss Me In The Morning (feat. Jorja Smith),"The Eddy,Jorja Smith"
spotify:track:5YbxN1yCgcf0ZMqXY5JfW5,0.612,0.273,1,-13.651,0,0.0292,0.746,0.00364,0.106,0.495,102.889,235441,4,TRUMPETS,"_BY.ALEXANDER,070 Shake"
spotify:track:6AFJ6v57ZevcNCR2mJHDKf,0.358,0.495,7,-10.966,1,0.0297,0.724,0.46,0.0933,0.275,97.648,409867,4,Grace And Mercy,Immanuel Wilkins
spotify:track:0Ge5J0ecsYuh9vY96B6bZa,0.651,0.64,1,-8.428,1,0.0263,0.737,0.162,0.0684,0.611,105.036,316561,4,The Windmills of Your Mind,"Harold López-Nussa,Vincent Peirani"
spotify:track:358Cy3AN9FeOkwXbbFHT30,0.4,0.46,9,-9.983,0,0.0303,0.538,0.127,0.234,0.406,116.625,239359,4,"Cosa avete fatto a Solange (From ""What Have You Done to Solange?"")",Stefano Di Battista
spotify:track:1vuacSofz3reNAhGyvhBCs,0.37,0.578,2,-12.289,0,0.087,0.798,0.0224,0.668,0.189,169.839,382367,4,Now (Forever Momentary Space),"Damon Locks,Black Monument Ensemble,Angel Bat Dawid"
spotify:track:079UIJ8iojWLFFaioUPWio,0.495,0.602,0,-11.236,1,0.0327,0.148,0.0204,0.112,0.369,123.94,363840,4,Sabah el Nur,Joe Chambers
spotify:track:1wDrxcv05fE5fZ6dqX3XZQ,0.513,0.494,5,-10.771,0,0.0476,0.341,0.0701,0.099,0.604,112.934,456171,4,Caravan,Chad Lefkowitz-Brown
spotify:track:1nKWE1I0RRz5RgykyKPEDB,0.333,0.445,7,-12.612,0,0.0335,0.602,0.494,0.0783,0.352,131.102,514413,3,Indawu,Nduduzo Makhathini
spotify:track:2WjRKzqp8bIB4yPXC9ECXa,0.553,0.196,6,-18.709,0,0.0434,0.786,0.385,0.0922,0.385,104.832,261933,4,Radio,"John Scofield,Steve Swallow,Bill Stewart"
spotify:track:2wqyNwsYDFolKt221055Cc,0.433,0.638,8,-8.901,1,0.0516,0.202,0.0456,0.124,0.411,121.305,415160,4,That Too,"Orrin Evans,Captain Black Big Band"
spotify:track:27Kofmw6BRqbfsHk02AXOn,0.442,0.367,1,-12.412,1,0.0398,0.599,0.467,0.115,0.551,123.62,358481,3,Elsewhere,Melissa Aldana
spotify:track:3OeUlriM0EZHdWleJtjoVr,0.767,0.854,4,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653,4,Got My Mind Set On You - Remastered 2004,George Harrison
spotify:track:389QX9Q1eUOEZ19vtzzI9O,0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115.0,285000,4,While My Guitar Gently Weeps - Remastered 2009,The Beatles
spotify:track:32fKHW6Eac4yBXn9WY7Aic,0.555,0.639,2,-6.832,1,0.033,0.137,1.99e-05,0.0733,0.518,125.77,227320,4,All Those Years Ago - Remastered 2004,George Harrison
spotify:track:4gdhsYfXJoVQsWpbmh32Da,0.611,0.566,9,-11.715,1,0.0295,0.425,0.000954,0.878,0.639,125.24,211320,4,"Here Comes The Sun - Live In Japan, 1991 / 2004 Mix",George Harrison
spotify:track:7be7aHPLjs3qkKmxR18jeY,0.468,0.834,4,-5.806,1,0.0323,0.00467,0.000454,0.318,0.878,131.322,264413,4,What Is Life,George Harrison
spotify:track:2bOaKNkHC1vABgIBApu46l,0.577,0.846,2,-6.611,1,0.0505,0.178,1.02e-06,0.0662,0.945,167.198,209520,4,End Of The Line,Traveling Wilburys
spotify:track:3QLZFIQaJebqAovcAIpk7L,0.542,0.643,11,-7.864,0,0.0296,0.0303,0.00707,0.105,0.788,136.674,171693,4,Run Of The Mill,George Harrison
spotify:track:3WzTqTiSXXIFeKEYqd7U5b,0.607,0.457,2,-12.943,1,0.0272,0.571,0.00376,0.25,0.355,137.613,202253,4,Dark Sweet Lady - Remastered 2004,George Harrison
spotify:track:1dYimSgEq46lJ30MKQP9l6,0.716,0.679,11,-9.088,0,0.0406,0.0735,0.00106,0.0506,0.505,107.168,276213,4,Love Comes To Everyone - Remastered 2004,George Harrison
spotify:track:4wdvkTP86WAvmr1pB01KFw,0.675,0.752,7,-5.949,1,0.0282,0.119,0.0,0.252,0.745,115.081,199587,4,Handle With Care,Traveling Wilburys
spotify:track:35sKi1iEOS6xCq1NHzgZJE,0.619,0.727,2,-5.789,1,0.0292,0.132,0.00671,0.235,0.564,115.446,246133,4,Cheer Down - 2009 Mix,George Harrison
spotify:track:2rqjQ9seqvnhwyyysPwtSr,0.438,0.58,11,-9.543,0,0.0279,0.0779,0.405,0.126,0.482,89.746,228373,4,Ballad Of Sir Frankie Crisp (Let It Roll),George Harrison
spotify:track:1sW8AxMW4vuoV5LCDZj7r7,0.349,0.84,7,-6.551,1,0.0292,0.00355,0.00953,0.742,0.688,134.219,286733,4,"While My Guitar Gently Weeps - Live From Madison Square Garden, New York, U.S.A, 1971 / 2009 Mix",George Harrison
spotify:track:5D9KDPjIHL5aZRug8gCzFJ,0.544,0.474,1,-8.875,0,0.0279,0.296,0.0115,0.0993,0.164,121.716,231133,4,Beware Of Darkness,George Harrison
spotify:track:0UkZexeWaFY7geHlCLqjQR,0.366,0.566,5,-11.527,1,0.0485,0.462,0.0121,0.128,0.632,79.341,215693,4,Give Me Love (Give Me Peace On Earth),George Harrison
spotify:track:7gMS9hT5vlxQEn4FuxXmAN,0.508,0.56,9,-8.244,1,0.0304,0.494,0.00611,0.106,0.386,122.514,226867,4,All Things Must Pass,George Harrison
spotify:track:3Njxl86N4inxFi5xBuCoR1,0.538,0.704,1,-8.904,0,0.0332,0.0794,0.0,0.0867,0.583,120.963,281227,4,My Sweet Lord,George Harrison
spotify:track:3bygXv7MxNgL7zJFq7Cg9W,0.658,0.636,10,-6.646,1,0.03,0.72,7.4e-05,0.079,0.796,123.166,238213,4,Crackerbox Palace - Remastered 2004,George Harrison
spotify:track:12zoIiuBHpEsdTeHkWz0HX,0.272,0.661,7,-7.604,1,0.0266,0.00211,0.142,0.0579,0.281,144.332,430867,4,Isn't It A Pity,George Harrison
spotify:track:6fAADiK2jnjdm5QRI7hSYc,0.507,0.6,5,-9.088,1,0.0236,0.59,0.00408,0.291,0.387,92.416,239853,4,When We Was Fab - Remastered 2004,George Harrison
spotify:track:47ZOXXxvdzBwog8cnA2Wv6,0.239,0.889,11,-6.406,1,0.0485,0.0352,0.0,0.141,0.889,180.478,168053,4,Awaiting On You All,George Harrison
spotify:track:7orb0y6ySGdsYZywMoQtsD,0.493,0.525,9,-9.289,1,0.0315,0.182,4.4e-06,0.148,0.449,127.492,147973,4,I Want To Tell You - Remastered 2009,The Beatles
spotify:track:67F9MFQj4YZG2i0V0HCMUs,0.643,0.633,2,-8.788,1,0.0316,0.303,0.0,0.119,0.228,115.246,240680,4,Blow Away - Remastered 2004,George Harrison
spotify:track:7CFfGfrq3ACeUTs3Dp1UJ4,0.365,0.332,7,-11.87,1,0.0309,0.591,0.00372,0.0911,0.099,124.019,290080,4,Here Comes The Moon - Remastered 2004,George Harrison
spotify:track:4BRkPBUxOYffM2QXVlq7aC,0.469,0.596,7,-8.348,1,0.0749,0.0101,0.0,0.321,0.783,133.586,158853,4,Taxman - Remastered 2009,The Beatles
spotify:track:0XchmaUyED9eALwVRP912Q,0.576,0.93,6,-3.939,1,0.0419,0.12,1.25e-05,0.3,0.545,129.835,216693,4,Heading For The Light,Traveling Wilburys
spotify:track:5CV2p81MSOfLEuldUkSvGs,0.448,0.543,0,-8.005,1,0.0252,0.329,0.00332,0.0633,0.441,172.86,266760,3,Life Itself - Remastered 2004,George Harrison
spotify:track:6utKZ21ASljZWbC5nDzIYo,0.318,0.69,9,-6.174,1,0.0326,0.421,0.0132,0.108,0.37,149.843,222080,4,Beautiful Girl - Remastered 2004,George Harrison
spotify:track:1Dgn1VU5l9eMV8WuSRNwmI,0.786,0.695,7,-6.32,1,0.0282,0.214,4.58e-06,0.0852,0.842,113.86,229400,4,Looking For My Life,George Harrison
spotify:track:13D1n0jyyJoLDjcmFvfS5W,0.576,0.924,2,-4.431,1,0.0739,0.374,0.0,0.299,0.756,161.485,231560,4,Any Road,George Harrison
spotify:track:1qqGWtUzp1kGrVbuFU4EmQ,0.559,0.388,10,-10.389,0,0.0311,0.724,0.0638,0.13,0.44,117.334,186960,3,Behind That Locked Door,George Harrison
spotify:track:0IF7XHfvCoEkabkVvaLvv4,0.626,0.68,0,-6.834,1,0.0231,0.0984,0.00116,0.329,0.456,97.216,244827,4,Stuck Inside A Cloud,George Harrison
spotify:track:1d2Ga3Di0eRZSEhJRmvX1l,0.825,0.896,0,-6.212,1,0.0315,0.169,0.000191,0.359,0.972,124.391,231240,4,Last Night,Traveling Wilburys
spotify:track:0Bd3LPxBrRGIE28hqEnuAS,0.614,0.684,7,-12.452,1,0.049,0.0897,0.000441,0.305,0.73,95.572,233720,4,Dark Horse,George Harrison
spotify:track:7dcAoN9JaXOf3jtbUkifCn,0.665,0.742,0,-8.214,0,0.0716,0.253,0.00384,0.295,0.826,125.088,204307,4,Fish On The Sand - Remastered 2004,George Harrison
spotify:track:6bNFmr8aQ9guGerSLqf0Ct,0.641,0.619,3,-8.996,1,0.0369,0.672,0.0215,0.257,0.737,94.05,196627,4,Cloud Nine - Remastered 2004,George Harrison
spotify:track:1lT1K7etQIkyWmXOh0XrLZ,0.419,0.692,5,-9.965,1,0.0386,0.0392,0.00152,0.0847,0.706,98.934,330360,4,Living In The Material World,George Harrison
spotify:track:1WGK9GqetBJp4Cg6TlVluD,0.51,0.788,6,-8.952,1,0.0278,0.0155,0.0094,0.0928,0.906,136.027,223493,4,You,George Harrison
