danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.648,0.755,0,-7.901,1,0.03,0.0139,0.000253,0.225,0.607,126.341,audio_features,5vYhr2kgOonJtWeJq5qZzU,spotify:track:5vYhr2kgOonJtWeJq5qZzU,https://api.spotify.com/v1/tracks/5vYhr2kgOonJtWeJq5qZzU,https://api.spotify.com/v1/audio-analysis/5vYhr2kgOonJtWeJq5qZzU,294587,4,Here Comes the Rain Again - Remastered Version,"Eurythmics,Annie Lennox,Dave Stewart"
0.249,0.476,4,-10.308,1,0.0339,0.0179,2.89e-06,0.942,0.267,174.349,audio_features,3pOgDNzXKISD4zCj3mQ6t9,spotify:track:3pOgDNzXKISD4zCj3mQ6t9,https://api.spotify.com/v1/tracks/3pOgDNzXKISD4zCj3mQ6t9,https://api.spotify.com/v1/audio-analysis/3pOgDNzXKISD4zCj3mQ6t9,319547,4,Sister Christian,Night Ranger
0.582,0.606,6,-9.961,1,0.0289,0.124,0.00139,0.151,0.504,111.441,audio_features,3wfujdbamR3Z46F4xav7LM,spotify:track:3wfujdbamR3Z46F4xav7LM,https://api.spotify.com/v1/tracks/3wfujdbamR3Z46F4xav7LM,https://api.spotify.com/v1/audio-analysis/3wfujdbamR3Z46F4xav7LM,234493,5,Drive,The Cars
0.597,0.822,1,-5.602,0,0.0398,0.375,0.000114,0.128,0.697,164.384,audio_features,1ytzrpWRCpUasHmT5P4LRt,spotify:track:1ytzrpWRCpUasHmT5P4LRt,https://api.spotify.com/v1/tracks/1ytzrpWRCpUasHmT5P4LRt,https://api.spotify.com/v1/audio-analysis/1ytzrpWRCpUasHmT5P4LRt,220520,4,Twist Of Fate,Olivia Newton-John
0.705,0.846,11,-4.618,0,0.0466,0.231,2.1e-05,0.71,0.86,115.076,audio_features,2iitSsbNPH0EJPyyEpvSgg,spotify:track:2iitSsbNPH0EJPyyEpvSgg,https://api.spotify.com/v1/tracks/2iitSsbNPH0EJPyyEpvSgg,https://api.spotify.com/v1/audio-analysis/2iitSsbNPH0EJPyyEpvSgg,264133,4,Union of the Snake,Duran Duran
0.602,0.558,10,-13.73,1,0.041,0.0129,0.000185,0.12,0.877,143.511,audio_features,6reKyht76Fw6fnF5Mnc8Hs,spotify:track:6reKyht76Fw6fnF5Mnc8Hs,https://api.spotify.com/v1/tracks/6reKyht76Fw6fnF5Mnc8Hs,https://api.spotify.com/v1/audio-analysis/6reKyht76Fw6fnF5Mnc8Hs,303960,4,The Heart Of Rock And Roll - 1999 - Remaster,Huey Lewis & The News
0.553,0.625,1,-8.047,1,0.0277,0.236,2.21e-06,0.891,0.336,82.011,audio_features,0xpfe8QQWplGO09WN3vdN0,spotify:track:0xpfe8QQWplGO09WN3vdN0,https://api.spotify.com/v1/tracks/0xpfe8QQWplGO09WN3vdN0,https://api.spotify.com/v1/audio-analysis/0xpfe8QQWplGO09WN3vdN0,315787,4,"Hard Habit to Break - Live in Chicago, IL, 1999",Chicago
0.599,0.442,3,-9.755,0,0.0239,0.667,0.0,0.143,0.415,96.213,audio_features,4TIkesxpN5caX6XpsiirnH,spotify:track:4TIkesxpN5caX6XpsiirnH,https://api.spotify.com/v1/tracks/4TIkesxpN5caX6XpsiirnH,https://api.spotify.com/v1/audio-analysis/4TIkesxpN5caX6XpsiirnH,255720,4,If Ever You're in My Arms Again,Peabo Bryson
0.808,0.611,5,-9.298,1,0.0493,0.156,0.0,0.49,0.92,110.898,audio_features,5mooLgb601ws7PbKe2m1HQ,spotify:track:5mooLgb601ws7PbKe2m1HQ,https://api.spotify.com/v1/tracks/5mooLgb601ws7PbKe2m1HQ,https://api.spotify.com/v1/audio-analysis/5mooLgb601ws7PbKe2m1HQ,241133,4,Automatic - Single Version,The Pointer Sisters
0.783,0.856,10,-5.302,0,0.0945,0.000454,0.196,0.221,0.847,118.093,audio_features,5RgGHpa9S3txqJTxyRChx4,spotify:track:5RgGHpa9S3txqJTxyRChx4,https://api.spotify.com/v1/tracks/5RgGHpa9S3txqJTxyRChx4,https://api.spotify.com/v1/audio-analysis/5RgGHpa9S3txqJTxyRChx4,214960,4,Let The Music Play,Shannon
0.551,0.572,6,-7.244,1,0.0328,0.521,1.86e-05,0.0859,0.337,82.22,audio_features,0uBwcaTkY1BPpIZhxuhS67,spotify:track:0uBwcaTkY1BPpIZhxuhS67,https://api.spotify.com/v1/tracks/0uBwcaTkY1BPpIZhxuhS67,https://api.spotify.com/v1/audio-analysis/0uBwcaTkY1BPpIZhxuhS67,212667,4,To All the Girls I've Loved Before,"Julio Iglesias,Willie Nelson"
0.416,0.398,10,-10.981,1,0.0471,0.657,1.25e-06,0.121,0.264,69.387,audio_features,5oe8ei8OtZzp8xmuzguRfG,spotify:track:5oe8ei8OtZzp8xmuzguRfG,https://api.spotify.com/v1/tracks/5oe8ei8OtZzp8xmuzguRfG,https://api.spotify.com/v1/audio-analysis/5oe8ei8OtZzp8xmuzguRfG,209688,3,Hungry,Dotan
0.728,0.532,8,-8.739,1,0.0342,0.288,0.00169,0.0744,0.831,88.748,audio_features,64hljWdSmG5yiJmd4QWR0a,spotify:track:64hljWdSmG5yiJmd4QWR0a,https://api.spotify.com/v1/tracks/64hljWdSmG5yiJmd4QWR0a,https://api.spotify.com/v1/audio-analysis/64hljWdSmG5yiJmd4QWR0a,223413,4,Mushaboom,Feist
0.509,0.476,11,-7.733,1,0.0371,0.555,0.0,0.151,0.512,81.691,audio_features,0Uxl9loKOLG66bI9PVqMaV,spotify:track:0Uxl9loKOLG66bI9PVqMaV,https://api.spotify.com/v1/tracks/0Uxl9loKOLG66bI9PVqMaV,https://api.spotify.com/v1/audio-analysis/0Uxl9loKOLG66bI9PVqMaV,244152,4,Love We Are We Love,The Sea The Sea
0.536,0.87,2,-4.521,1,0.0391,0.0439,0.0,0.305,0.169,97.982,audio_features,47npAmYQaQDQAeVzxN1JGG,spotify:track:47npAmYQaQDQAeVzxN1JGG,https://api.spotify.com/v1/tracks/47npAmYQaQDQAeVzxN1JGG,https://api.spotify.com/v1/audio-analysis/47npAmYQaQDQAeVzxN1JGG,186480,4,Cassy O',George Ezra
0.668,0.563,4,-8.23,1,0.0305,0.649,0.000347,0.11,0.289,130.366,audio_features,4XtqNHNErWMEQHa5G9NK5D,spotify:track:4XtqNHNErWMEQHa5G9NK5D,https://api.spotify.com/v1/tracks/4XtqNHNErWMEQHa5G9NK5D,https://api.spotify.com/v1/audio-analysis/4XtqNHNErWMEQHa5G9NK5D,201786,4,Angela,The Lumineers
0.528,0.28,7,-10.181,1,0.0368,0.807,0.000377,0.116,0.347,102.061,audio_features,3ZrxDW8SSPZkGPwDggS9zh,spotify:track:3ZrxDW8SSPZkGPwDggS9zh,https://api.spotify.com/v1/tracks/3ZrxDW8SSPZkGPwDggS9zh,https://api.spotify.com/v1/audio-analysis/3ZrxDW8SSPZkGPwDggS9zh,180613,3,Home from Home,Roo Panes
0.596,0.827,5,-4.402,1,0.0372,0.0242,0.0,0.0958,0.329,115.034,audio_features,6liNJDyWJjyHAgDnAX95bw,spotify:track:6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/tracks/6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/audio-analysis/6liNJDyWJjyHAgDnAX95bw,249382,4,Fire and the Flood,Vance Joy
0.599,0.373,4,-7.933,1,0.03,0.88,0.0,0.238,0.521,64.513,audio_features,1qMaMM9CdJ0oSz6gFwUEH8,spotify:track:1qMaMM9CdJ0oSz6gFwUEH8,https://api.spotify.com/v1/tracks/1qMaMM9CdJ0oSz6gFwUEH8,https://api.spotify.com/v1/audio-analysis/1qMaMM9CdJ0oSz6gFwUEH8,145613,4,"Oh, Sing",The Native Sibling
