uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:3TUMjP5HmxKBbkFLij3VPW,0.638,0.563,7,-13.479,0,0.956,0.819,2.51e-06,0.66,0.713,85.663,53320,3,Fugazi,Todd Barry
spotify:track:2pEy1pGbLyeAyk5m7k0bcp,0.561,0.618,5,-17.503,1,0.885,0.674,0.0,0.501,0.493,128.66,47853,1,Bands Reuniting,Todd Barry
spotify:track:4U2sdzCuiXQSSNZ9KDlFRx,0.594,0.727,7,-16.594,0,0.901,0.694,0.0,0.659,0.286,111.701,19440,5,In A Band?,Todd Barry
spotify:track:0DssxoA4uTDa2JsBgfq0pg,0.495,0.298,10,-18.651,0,0.93,0.744,0.0,0.718,0.744,169.681,53000,4,Michael Jackson And Jose,Todd Barry
spotify:track:4VjuHavv2loEUL61cXUy3R,0.583,0.464,1,-19.747,1,0.927,0.877,2.31e-06,0.621,0.45,65.895,126813,5,Sugar Ray,Todd Barry
spotify:track:4So4XZqP26abFAvZIuYn5H,0.593,0.429,8,-23.109,1,0.85,0.668,0.0,0.168,0.301,118.24,37827,5,New Wilco Album,Todd Barry
spotify:track:6BsqeOxv7N2u5l6fRN10Pr,0.569,0.614,2,-11.516,1,0.949,0.808,0.0,0.942,0.46,139.229,357000,4,Hip Hop Animosity,Mike Birbiglia
spotify:track:7wTMnfTS5JutmUEOjiNlRt,0.48,0.983,2,-6.864,1,0.876,0.8,0.0,0.913,0.0942,78.929,224680,5,MTV,Lewis Black
spotify:track:36FEd0PGXVRyZok3Vu8q1H,0.522,0.954,6,-7.496,1,0.929,0.768,0.0,0.736,0.16,135.404,239267,4,Justin And Janet,Lewis Black
spotify:track:5M469KaLo1PNb4OrCfDVFl,0.481,0.984,10,-7.28,1,0.902,0.868,1.65e-06,0.701,0.044,81.02,269227,4,America Loses It's Mind,Lewis Black
spotify:track:7AqbcU8rve7nn8eWDiRUos,0.521,0.964,5,-7.297,1,0.896,0.844,0.0,0.961,0.126,125.797,166187,5,Nipple Clamps,Lewis Black
spotify:track:3Gg1GRIvP09nsMY82At99a,0.686,0.67,9,-8.679,1,0.951,0.863,0.0,0.703,0.5,87.857,236053,3,Scatting,Hannibal Buress
spotify:track:2J2vUuomuC6EpMBBvsv5HO,0.62,0.803,4,-8.002,1,0.937,0.875,0.0,0.771,0.343,109.029,221693,4,MOE,Hannibal Buress
spotify:track:70Kc5ULbaX1UV7k0k6Up2E,0.59,0.665,6,-8.59,1,0.951,0.871,0.0,0.739,0.502,82.812,216665,3,Lil Wayne/Gangsta Questions,Hannibal Buress
spotify:track:5EmFRNZQ82D4C1EfKhuPvd,0.563,0.9,9,-8.012,1,0.927,0.936,2.8e-05,0.909,0.454,85.385,139240,4,Sarah McLachlan,Bill Burr
