artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Guided By Voices,2WekrVS6ZBM95sJ6SpiX8M,Grey Spat Matters,9.72e-06,0.4379999999999999,88750,0.954,0.0018899999999999,0,0.184,-4.888,1,0.0472,119.925,4,0.57,16
Lord Ivan,68EKfkd5BbWFj98k43fMvg,Looka,0.295,0.941,193343,0.332,0.0016,1,0.089,-11.52,1,0.484,129.861,4,0.062,0
Urban Cone,6s2KvPc76EAkOuCg9fPixm,Old School,0.018,0.657,183988,0.7340000000000001,0.0342,1,0.256,-5.652,0,0.0628,95.023,4,0.247,57
The Neighbourhood,1zkXUXNHpYQTcXZAaZbeEp,Roll Call,0.00932,0.562,250400,0.542,0.348,0,0.635,-7.221,1,0.053,78.031,4,0.26,55
Khori Rab,13SdCu2trUmGobEl8y2Isv,Rab Talk,0.2289999999999999,0.858,181835,0.436,6.97e-06,5,0.109,-12.061,0,0.0498,148.075,4,0.4029999999999999,0
Evangelia,2fXdPNTRSIsptaj2DxYpdc,Digital Age,0.581,0.7390000000000001,164000,0.3229999999999999,0.0,1,0.0892,-8.218,0,0.0697,119.8,4,0.5579999999999999,28
Peakboy,7rE7zN4lpDQ5WGA7Josvd1,THINK ABOUT YOU,0.6409999999999999,0.688,213484,0.5329999999999999,0.0,9,0.292,-7.88,0,0.23,139.925,4,0.498,24
Jeremih,3oCJJksC12uFxkt3RQ7rbV,The Light,0.0178,0.83,179653,0.5770000000000001,8.149999999999999e-05,4,0.0436,-5.156000000000001,0,0.256,92.973,4,0.63,71
Ne-Yo,3Ci0JKVWZ4vldEs9KMlkfy,ON UR MIND,0.00985,0.481,202253,0.591,3.29e-06,2,0.136,-4.738,1,0.0682,116.903,4,0.41,50
Sarah Blasko,6PsDeF1TKqQCDkOdSY0t8a,Savour It,0.299,0.406,243187,0.512,0.0628,8,0.102,-8.134,1,0.0319,139.76,4,0.196,24
AJR,5Z5hlAxTFoHFLuVFdUWrv7,I'm Not Famous,0.00179,0.635,220457,0.863,0.0,5,0.32,-4.204,1,0.0613,94.945,4,0.654,52
Celtic Thunder,2m7AYieA8q6P3VzbXoqSPi,I'm a Believer,0.1009999999999999,0.602,169467,0.835,3.88e-06,0,0.131,-6.505,1,0.0285,80.016,4,0.8340000000000001,23
Verse Simmonds,3ti5m6ljMCiOvTbnuLDzsC,Liquor & Misunderstanding (Remix) [feat. Sevyn Streeter & Eric Bellinger],0.286,0.6729999999999999,217861,0.407,0.0,1,0.315,-8.8,0,0.192,111.769,4,0.3229999999999999,14
Earthless,7jNZ3D67HcSK0QRoPXM1X3,Gifted by the Wind,0.000386,0.354,388720,0.949,0.0009449999999999,7,0.213,-6.544,1,0.132,101.607,4,0.1639999999999999,35
Bobby Right,2iAlR8CvuvPaGH1gviuFPG,Letter,0.148,0.7929999999999999,190093,0.885,8.159999999999999e-05,5,0.114,-1.002,1,0.0657,101.896,4,0.897,21
Lobster Bologna,0JjmwpksxowyONKpiyGNAv,Tongues,0.768,0.54,33000,0.371,0.409,1,0.159,-15.608,1,0.0341,79.808,4,0.623,33
Subculture Sage,0z094mopj1HmEocx9NYSim,Row Your Boat,0.0564,0.5770000000000001,198907,0.765,0.00131,1,0.284,-4.942,1,0.346,140.118,4,0.477,10
Shaun Track,7APVGwo5j6bnLsztLUw2wH,Apaga el Celular,0.0818,0.599,211210,0.8540000000000001,2.55e-06,0,0.38,-4.311,0,0.0478,130.082,4,0.407,14
Elujay,13Gt4A1ZbYkZbfdQsjKGR6,Starchild,0.125,0.503,190153,0.615,0.00014,10,0.0881,-6.545,0,0.2319999999999999,82.53299999999999,4,0.494,55
Border Grime,5pYk0nby38J0Ck2d5yAoqM,Creation Contemplation,0.47,0.669,164819,0.2239999999999999,0.421,2,0.0949,-14.243,0,0.0658,166.02599999999998,4,0.0848,36
Greish,0SvgBfcHTXbeQDPogTrOky,Slumped,0.602,0.37,167288,0.843,1.64e-06,1,0.446,-4.746,1,0.0769,73.021,4,0.445,0
NewSpring Worship,1skzI22RpTatkaMrMogvOW,Your Freedom,0.0195,0.419,367303,0.664,3.75e-06,1,0.0522,-7.724,1,0.0358,152.123,4,0.138,23
Ziggy,38ZNYyr0VbBxgkDsf5lVxh,Tomahawk,0.0176,0.6679999999999999,213689,0.969,0.0106,9,0.413,-1.979,1,0.0544,104.016,4,0.525,6
Orville Dahl,0uhiRQDYECotx6wcPlhhqN,Suburban Sunrise,0.7140000000000001,0.73,463830,0.249,0.00257,2,0.0935,-10.852,1,0.0434,96.842,1,0.356,25
Western Centuries,1rFDTnmpkbmZwxmygcuUR7,Wild Birds,0.238,0.622,265133,0.847,3.74e-06,2,0.304,-5.231,1,0.0402,134.101,4,0.6809999999999999,18
Smash G,3iHPvOiixdaOpGKD1OExtJ,I Got (Remix) [feat. Rjmrla],0.266,0.8190000000000001,170000,0.743,0.0,8,0.0905,-5.109,1,0.181,96.016,4,0.5589999999999999,26
morgxn,2fi7LzhlT4XrWk82yGZ7yt,translucent,0.0694,0.636,214751,0.685,9e-06,3,0.151,-4.593,0,0.0331,132.002,4,0.284,0
Carin Leon,3jicUvbUqfnSGGbzZFk6aM,Tu Enamorado,0.204,0.754,206562,0.46,0.000745,2,0.131,-5.81,1,0.0457,152.233,3,0.513,38
Thelonious Coltrane,2XQDpSMdLmgoWQubGl9sxb,Overtime,0.0248,0.578,108863,0.777,0.0,8,0.384,-5.126,0,0.369,139.679,5,0.845,0
6obby,4ck9dxVIR6RUrpIs0iW11q,blessed,0.2019999999999999,0.499,164180,0.5920000000000001,0.00359,7,0.121,-10.2,1,0.0359,170.092,4,0.2739999999999999,22
Arijit Singh,1vV3svDZmU4Yj0PdSVuhbd,"Jodi Bolo (From ""One"") - Lounge Mix",0.551,0.5920000000000001,189354,0.6779999999999999,0.0,11,0.295,-4.766,0,0.0336,90.036,4,0.502,6
Ashleigh Rogers,45pzoX6UUKqIOr41D8brk4,That Girl,0.107,0.6659999999999999,179110,0.608,7.68e-06,11,0.1119999999999999,-5.697,0,0.0507,144.054,4,0.6920000000000001,7
Ghetto Kids,5uN0p99gYSz8Wr1RExVBbY,Internacional,0.0554,0.5589999999999999,203418,0.879,0.00448,9,0.0857,-2.33,1,0.0771,195.985,4,0.53,42
The Reign of Kindo,26sATARShaI6uo4KCv0UQx,City of Gods,0.0138,0.536,371735,0.8240000000000001,2.59e-05,4,0.239,-7.313,0,0.0565,97.968,4,0.341,25
JON VINYL,2ag8BaVeKjB9QZajAYmW4d,Cherry Blossom,0.15,0.337,170423,0.4679999999999999,0.312,9,0.118,-11.637,0,0.126,160.688,4,0.0531,2
BTS,3MpwwsTFVtbEunR1dUMJUc,DNA (Pedal 2 LA Mix),0.0352,0.488,247483,0.955,0.0,1,0.301,-3.44,0,0.134,129.972,4,0.48,62
Gottfried Heinrich Stölzel,7I5AuKcQfO3TsKYhyflcy4,Partia di Signore Stelzen: 4. Menuet (Trio In G Minor by J.S. Bach BWV 929),0.784,0.238,146560,0.325,0.0191,6,0.2189999999999999,-16.756,0,0.0335,90.158,4,0.875,6
Landis,2EOKBWB1oBUulPP5pWAzoP,Let Go,0.183,0.695,185806,0.8909999999999999,0.0104,8,0.282,-3.5410000000000004,0,0.0818,123.963,4,0.617,26
CMDWN,1i1CftW0duCdhzBKzXyHQ8,ROXANNE (feat. Chief Keef),0.0569,0.843,159441,0.807,0.0,11,0.264,-8.24,1,0.208,135.047,4,0.931,46
Jason Voorheezy,3iFzzJyENmXernrGYgUUCQ,Mary Alice,0.8029999999999999,0.8009999999999999,178500,0.4589999999999999,0.000448,6,0.108,-10.292,0,0.249,80.06,4,0.346,3
Bruno & Barretto,1YYtZk0FLM528dzmR330uZ,Bêbado No Máximo - Tour USA,0.536,0.633,181267,0.918,0.0,8,0.435,-3.6010000000000004,1,0.145,137.911,4,0.6659999999999999,25
Kendyle Paige,1IfR8qhili2FZOjKnjZlPR,PILLOWTALK - The Four Performance,0.0228,0.602,199380,0.469,0.0,11,0.1119999999999999,-6.872999999999999,1,0.0361,117.884,4,0.261,28
Forever Came Calling,38j5PEWq2xFnv69Ewhfikt,Mine to Mold,0.00144,0.425,168202,0.923,0.0537,8,0.248,-4.952,1,0.0917,177.94,4,0.509,32
Munch Ali,74rtyxHz1wlMtTSQGbZxGN,Brand New,0.0151,0.8,158000,0.503,0.00112,1,0.222,-7.287000000000001,1,0.255,160.083,4,0.146,1
Lake Street Dive,06vTCBJDDXX6hWaKxOSBz4,Darryl,0.0756,0.477,225475,0.8420000000000001,0.000454,2,0.552,-4.042,1,0.103,117.962,4,0.416,42
Portugal. The Man,2p7pbYZMHXWXZUqOU0TkLE,Tidal Wave - Sir Sly Remix,0.0645,0.634,263244,0.64,0.0122,10,0.1119999999999999,-8.957,1,0.0511,146.03799999999998,4,0.295,36
Derek Stelk,4tt7ue34MlC1aCLXm7U9N5,Can't Stop the Chick,0.933,0.6940000000000001,215040,0.128,0.0,4,0.118,-14.632,1,0.0462,95.402,4,0.322,26
Dimond Saints,71gdwJcwxgLur3jfthQk66,Open Your Eyes,0.1369999999999999,0.5529999999999999,163077,0.7170000000000001,0.342,11,0.23,-8.247,0,0.489,78.017,4,0.186,13
Chief Keef,4qyPiYOghuiMg6FioULepR,Chiraq,0.693,0.508,252291,0.206,2.71e-05,11,0.0882,-11.74,1,0.0294,75.902,4,0.257,48
Will Morrison,4G18SVgnSAThfElKSIZ11b,Reckless Love,0.956,0.628,328052,0.0632,5.5e-06,6,0.1159999999999999,-15.944,1,0.0319,102.84,4,0.122,34
RKM,0Ocq15SlAlELwbQfsVd7a3,The Khonsu Project Reference,0.0909,0.7959999999999999,169196,0.508,0.0465,7,0.139,-9.663,1,0.2689999999999999,138.84799999999998,4,0.396,43
Observer Drift,5cvI46ihY2WhnLfUERGdSc,Outland,0.126,0.449,373860,0.5379999999999999,0.138,1,0.1639999999999999,-9.069,1,0.0303,102.016,4,0.157,33
Gbrand,7Ks2sIeJsVZpJ81evGDg4z,Always Be Mine,0.095,0.7140000000000001,195638,0.552,0.0,6,0.126,-7.136,0,0.0599,95.989,4,0.421,31
Lucky Daye,5ym4GENsMc7VbZVYyulq84,Roll Some Mo,0.258,0.405,292885,0.508,0.0479,11,0.142,-9.028,1,0.0596,74.70100000000001,4,0.371,70
Elephante,2wZoSdcnl4qPYyBQSfWlFy,All Over Again (Fluencee Remix),0.00467,0.7,206750,0.774,0.0,3,0.0724,-3.792,1,0.0303,99.982,4,0.433,20
Brothers Osborne,6xrREPyyC5KESDhWfwqHiN,I Don't Remember Me (Before You),0.104,0.614,192680,0.614,3.59e-05,4,0.104,-7.497000000000001,0,0.0314,146.03,4,0.598,65
WRONG,1aebV3xRWmTR1IfPnmlvMf,Zero Cool,0.0194,0.308,237320,0.934,0.151,4,0.747,-6.196000000000001,0,0.102,93.535,3,0.2689999999999999,11
Johann Sebastian Bach,6ZqbiXT40NY7iayt03sr8n,"Cantata ""Ich habe genug"" BWV 82: 3. Aria: Schlummert ein, ihr matten Augen",0.943,0.178,457360,0.0464,0.0113,6,0.131,-16.55,1,0.0498,69.372,3,0.129,3
Johnnie Mikel,1rk3AgiEMyAJtzQpsLzWBo,Influence - The Ready Set Remix,0.16,0.777,186000,0.7390000000000001,0.0001909999999999,7,0.0619,-6.273,1,0.0408,120.01,4,0.5760000000000001,11
Novelist,2LGavPVYaHHeFeqxziFHFZ,Nov Wait Stop Wait,0.151,0.662,196162,0.7120000000000001,0.0112,1,0.3329999999999999,-8.07,1,0.26,69.793,4,0.24,8
Drrreems,51Fzn30H8GorA29DVBjkJF,sinharaja,0.61,0.54,80878,0.2289999999999999,0.0037,1,0.1119999999999999,-19.086,1,0.119,117.261,3,0.488,0
Jacob Needham & The Blue Trees,4wLxTOLL9w5eFtsGaIZgIv,Rhythm and Brews,0.00634,0.4579999999999999,227909,0.622,0.018,9,0.254,-10.644,1,0.0924,171.69099999999997,4,0.7509999999999999,3
Trippie Redd,6bKUUSlzDua0gt0g13OKqw,Diamond Minds,0.5670000000000001,0.6779999999999999,185828,0.477,0.0,7,0.11,-9.626,1,0.0836,92.963,4,0.481,66
LAY,4IcJOYw3jAZqIEluW2acGu,Hold On,0.0374,0.797,191270,0.608,1.1e-06,8,0.0658,-6.337999999999999,1,0.089,110.068,4,0.505,37
Fraser Ross,3ewgpuExsEBWogEJA9L6ot,Life is Magic Here is my Rabbit,0.31,0.6990000000000001,266640,0.586,1.58e-06,0,0.2239999999999999,-11.174,1,0.0595,130.804,4,0.7240000000000001,9
RDX,3T1txxCRbUMGJcII9CHJQI,Bang,0.125,0.7490000000000001,198638,0.6990000000000001,0.0,11,0.131,-7.241,1,0.416,197.632,4,0.862,30
Grey,1fh5YKCSpo4OvC6usURns4,Want You Back - Nick Talos Remix,0.0786,0.629,183067,0.897,0.000272,7,0.157,-6.336,0,0.0488,125.036,4,0.411,32
Rockit Gaming,4BDX0iMq1aKyJbLowDtZCk,Just Monika,0.0191,0.7859999999999999,228480,0.636,0.0008119999999999,4,0.0719,-8.526,1,0.0609,125.05,4,0.612,26
Tracey Thorn,7JzGxeRc78Axm95jGTd11O,Dancefloor - Pearson and Lindblad Italo Remix,0.0321,0.7440000000000001,503467,0.855,0.0887,7,0.118,-8.402999999999999,1,0.0621,115.499,4,0.483,6
Reuben And The Dark,3VWkl5EaCUv5GbdI57zk7w,All Or Nothing,0.0469,0.316,194960,0.7759999999999999,0.0,0,0.3,-4.096,1,0.0601,112.775,3,0.287,19
Jacob Bellens,3DwBIsiTSPvqzRn6ypiWPw,More Than Anything,0.243,0.691,265653,0.374,0.00313,0,0.371,-10.32,0,0.0324,119.959,4,0.18,0
Habibi,2f7Pp9Jf5MI0M2g1NJt6qG,Green Fuz,0.201,0.523,109118,0.892,0.106,2,0.311,-6.111000000000001,0,0.0405,147.055,4,0.898,18
Jaij Hollands,6CO06RWRW2mRkX4oqhtgbz,Kai Kai (Freestyle),0.106,0.899,218400,0.674,0.000405,1,0.11,-4.994,1,0.136,118.031,4,0.3989999999999999,29
Ginuwine,2vQkjPyYCWeqVwNhMl4gmU,Hell Yeah - Radio Edit,0.0114,0.742,219027,0.6409999999999999,0.0,5,0.1159999999999999,-5.863,0,0.166,88.15,4,0.609,25
Los Sembradores,2wLYLMeCWiG1SltUb0DgN0,Bailar Bailar,0.118,0.767,185793,0.794,1.21e-05,11,0.424,-5.735,0,0.0456,120.026,4,0.921,27
Smokepurpp,0h0BIUrAch3T6DVV6bFTKX,Sauce Like This,0.00545,0.885,121704,0.787,0.0,1,0.0669,-6.962000000000001,1,0.321,146.066,4,0.342,67
yesterday,7xqY1j7AvViUz4tgPj3WeF,before the storm,0.00659,0.413,273619,0.588,0.0,7,0.183,-8.589,0,0.0765,99.751,4,0.14,25
Johann Sebastian Bach,5QehbRLuaHhodqFHMwlPL2,"Weihnachtsoratorium, BWV 248, Pt. I: No. 1. ""Jauchzet, frohlocket!""",0.935,0.46,447733,0.1889999999999999,0.162,1,0.109,-18.756,1,0.0329,139.174,3,0.318,15
Tommy Ryman,4xcj0dlKTjDtCSH5Cs0Dft,Broken Bones and Grocery Shopping,0.753,0.585,807987,0.812,0.0,1,0.847,-6.313,0,0.923,138.22,3,0.605,25
Ninja Sex Party,4BAFAC8Q5I5dLrcGew7BAe,Courtship of the Mermaid,0.0638,0.531,169103,0.581,0.0,10,0.122,-6.174,1,0.0362,83.429,4,0.56,45
Rich Brian,3q0UN40vV6mI7TT560Ry5l,Arizona (feat. AUGUST 08),0.695,0.6509999999999999,292381,0.526,0.0,8,0.386,-10.886,1,0.356,95.049,4,0.509,55
Koni,6BgB68eWC8GajCxjZZihJf,Save Us (LODE Remix),0.29,0.5589999999999999,226261,0.775,7.38e-05,11,0.176,-7.472,0,0.237,173.915,4,0.4679999999999999,26
